2017/09/25 14:40:10 INFO  - kg.apc.charting.GraphPanelChart: Saving PNG to C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\ThreadsStateOverTime.png 
2017/09/25 14:40:10 INFO  - kg.apc.jmeter.listener.GraphsGeneratorListener: Successful generation of file C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\ThreadsStateOverTime by plugin:ThreadsStateOverTime 
2017/09/25 14:40:10 INFO  - kg.apc.jmeter.PluginsCMDWorker: Using JMeterPluginsCMD v. N/A 
2017/09/25 14:40:10 WARN  - kg.apc.jmeter.JMeterPluginsUtils: JMeter env exists. No one should see this normally. 
2017/09/25 14:40:10 INFO  - kg.apc.charting.GraphPanelChart: Saving PNG to C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\TimesVsThreads.png 
2017/09/25 14:40:10 INFO  - kg.apc.jmeter.listener.GraphsGeneratorListener: Successful generation of file C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\TimesVsThreads by plugin:TimesVsThreads 
2017/09/25 14:40:10 INFO  - kg.apc.jmeter.PluginsCMDWorker: Using JMeterPluginsCMD v. N/A 
2017/09/25 14:40:10 WARN  - kg.apc.jmeter.JMeterPluginsUtils: JMeter env exists. No one should see this normally. 
2017/09/25 14:40:10 INFO  - kg.apc.charting.GraphPanelChart: Saving PNG to C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\ThroughputVsThreads.png 
2017/09/25 14:40:11 INFO  - kg.apc.jmeter.listener.GraphsGeneratorListener: Successful generation of file C:\perf_project_git\EAS_4.6\Output\User_Login_from_Org_User\5user\JmeterResults\ThroughputVsThreads by plugin:ThroughputVsThreads 
2017/09/25 14:40:11 INFO  - jmeter.reporters.Summariser: summary +     11 in 00:00:11 =    1.0/s Avg:  2318 Min:    14 Max:  5213 Err:     0 (0.00%) Active: 0 Started: 5 Finished: 5 
2017/09/25 14:40:11 INFO  - jmeter.reporters.Summariser: summary =    230 in 00:00:18 =   12.9/s Avg:   161 Min:     5 Max:  5213 Err:     0 (0.00%) 
